Project ID,Country,Borrower,Guarantor,Type,Status,Interest Rate,Project Name,Original Amount,Cancelled Amount,Undisbursed Amount,Disbursed Amount,Repaid to IBRD,First Repayment Date,Last Repayment Date,Agreement Signing Date
P001020,Guinea,Ministry of Economy and Finance,GN,NON POOL,Fully Repaid,7.25,BOKE EXTENTION,9000000,0,0,9000000,9000000,01/10/1973,01/10/1992,25/06/1971
P037465,New Zealand,,,NON POOL,Fully Cancelled,7.25,DFC I,8000000,8000000,0,0,0,15/02/1979,15/02/1979,09/03/1972
P001474,Madagascar,MINISTERE DES FINANCES ET DU BUDGET,MG,NON POOL,Fully Repaid,7.25,HIGHWAYS III,15000000,0,0,15000000,15000000,15/04/1983,15/10/1998,17/01/1973
P001478,Madagascar,MINISTERE DES FINANCES ET DU BUDGET,MG,NON POOL,Fully Repaid,8,FORESTRY I,6750000,8838.79,0,6741161.21,6741161.21,15/05/1985,15/11/1999,23/12/1974
P009367,Bangladesh,MINISTRY OF FINANCE,BD,NON POOL,Fully Repaid,6.15,INLAND WATER TRANSPO,54895633,0,0,54895633.38,54895633.38,01/01/1985,01/07/2004,01/07/1974
P002392,Sierra Leone,Ministry Of Finance,SL,NON POOL,Fully Repaid,8.5,INTEGRATED AGR.DEVT.,5000000,0,0,5000000,5000000,01/09/1980,01/03/2000,02/07/1975
P002832,Western Africa,CIMENTS DE L'AFRIQUE DE,3W,NON POOL,Fully Repaid,8.85,INDUSTRY II CIMAO,49500000,0,0,49500000,49500000,15/08/1981,15/02/1991,28/06/1976
P002831,Togo,Ministere Des Finances Et De L'Economie,TG,NON POOL,Fully Repaid,8.85,INDUSTRY II CIMAO,3500000,0,0,3500000,3500000,15/08/1981,15/02/1991,28/06/1976
P006064,"Bahamas, The",WATER AND SEWERAGE CORPORATION,,NON POOL,Fully Repaid,8.9,WATER SUPPLY & SEWER,10000000,0,0,10000000,10000000,01/09/1979,01/03/1996,10/09/1976
P001120,Western Africa,REGIE DES CHEMINS,3W,NON POOL,Fully Repaid,8,RAILWAYS,23000000,0,0,23000000,23000000,01/05/1982,01/11/1994,14/11/1977
P001825,Mauritania,SOCIETE NATIONALE INDUSTRIELLE,MR,NON POOL,Fully Repaid,7.9,IRON ORE GUELBS-PHAS,60000000,0,0,60000000,60000000,15/10/1984,15/04/1994,14/12/1979
P006065,"Bahamas, The",FINANCIAL SECRETARY,,POOL LOAN,Fully Repaid,9.6,TECHNICAL TRAINING,7000000,654262.4,0,6345737.6,6345737.6,15/12/1984,15/06/1996,08/05/1981
P006066,"Bahamas, The",FINANCIAL SECRETARY,,POOL LOAN,Fully Repaid,11.6,URBAN,5800000,93533.46,0,5706466.54,5706466.54,01/11/1985,01/05/1997,22/10/1982
